"position","const","created","modified","description","Title","Title type","Directors","You rated","IMDb Rating","Runtime (mins)","Year","Genres","Num. Votes","Release Date (month/day/year)","URL"
"120","tt0036342","Fri Aug  3 00:00:00 2012","","","Shadow of a Doubt","Feature Film","Alfred Hitchcock","4","8.0","108","1943","thriller","33049","1943-01-12","http://www.imdb.com/title/tt0036342/"
"121","tt1038988","Fri Aug  3 00:00:00 2012","","","[Rec]","Feature Film","Jaume Balagueró, Paco Plaza","9","7.5","78","2007","horror, mystery","87002","2007-08-29","http://www.imdb.com/title/tt1038988/"
"122","tt1555149","Mon Jul 30 00:00:00 2012","","","Tropa de Elite 2 - O Inimigo Agora É Outro","Feature Film","José Padilha","7","8.0","115","2010","action, crime, drama, thriller","37584","2010-10-08","http://www.imdb.com/title/tt1555149/"
"123","tt1614989","Mon Jul 30 00:00:00 2012","","","Hodejegerne","Feature Film","Morten Tyldum","5","7.5","100","2011","crime, thriller","43256","2011-08-04","http://www.imdb.com/title/tt1614989/"
"124","tt0107688","Sat Jul 28 00:00:00 2012","","","The Nightmare Before Christmas","Feature Film","Henry Selick","10","8.0","76","1993","animation, family, fantasy, musical","152227","1993-10-09","http://www.imdb.com/title/tt0107688/"
"125","tt0374546","Sat Jul 28 00:00:00 2012","","","Bom yeoreum gaeul gyeoul geurigo bom","Feature Film","Ki-duk Kim","10","8.0","103","2003","drama","39191","2003-08-14","http://www.imdb.com/title/tt0374546/"
"126","tt0061811","Fri Jul 27 00:00:00 2012","","","In the Heat of the Night","Feature Film","Norman Jewison","9","8.0","109","1967","crime, drama, mystery, thriller","34669","1967-08-02","http://www.imdb.com/title/tt0061811/"
"127","tt0070510","Wed Jul 25 00:00:00 2012","","","Paper Moon","Feature Film","Peter Bogdanovich","6","8.0","102","1973","comedy, crime, drama","16136","1973-05-09","http://www.imdb.com/title/tt0070510/"
"128","tt1182345","Tue Jul 24 00:00:00 2012","","","Moon","Feature Film","Duncan Jones","9","8.0","97","2009","drama, sci_fi","155791","2009-01-23","http://www.imdb.com/title/tt1182345/"
"129","tt0945513","Sun Jul 22 00:00:00 2012","","","Source Code","Feature Film","Duncan Jones","6","7.5","93","2011","mystery, sci_fi, thriller","224641","2011-03-11","http://www.imdb.com/title/tt0945513/"
"130","tt0050212","Sat Jul 21 00:00:00 2012","","","The Bridge on the River Kwai","Feature Film","David Lean","7","8.3","161","1957","adventure, drama, war","95638","1957-10-02","http://www.imdb.com/title/tt0050212/"
"131","tt0050825","Sat Jul 21 00:00:00 2012","","","Paths of Glory","Feature Film","Stanley Kubrick","10","8.5","88","1957","drama, war","73273","1957-09-18","http://www.imdb.com/title/tt0050825/"
"132","tt0078753","Fri Jul 20 00:00:00 2012","","","All Quiet on the Western Front","TV Movie","Delbert Mann","7","7.0","150","1979","war, drama","4149","1979-11-14","http://www.imdb.com/title/tt0078753/"
"133","tt0024216","Fri Jul 20 00:00:00 2012","","","King Kong","Feature Film","","8","8.0","100","1933","adventure, fantasy, horror","52298","1933-03-07","http://www.imdb.com/title/tt0024216/"
